1,ActionTrigger,Action,Target,Value,SpawnID,Condition,Condition Value,Condition MinionType,isTargetting,Tempory,ConditionStat
73,OnSpellCast,Damage,AllFriendlyMinions,1,,,,,,,
74,OnSpellCast,Damage,AllTarget,3,,,,,TRUE,,
74,OnSpellCast,Freeze,AllTarget,,,,,,,,
75,OnSpellCast,DrawCard,FriendlyHero,2,,,,,,,
76,OnSpellCast,Freeze,AllEnemyMinions,,,,,,,,
77,OnSpellCast,Damage,AllTarget,6,,,,,,,
78,OnSpellCast,,,,,,,,,,
80,OnAttacking,Freeze,,,,,,,,,
80,OnAttacked,Freeze,,,,,,,,,
81,OnSpellCast,Damage,AllEnemyMinions,4,,,,,,,
82,OnSpellCast,Attack,AllMinions,3,,,,,,,
83,OnSpellCast,Shield,AllTargetMinion,,,,,,TRUE,,
84,OnSpellCast,,,,,,,,,,
86,OnSpellCast,Heal,FriendlyHero,8,,,,,,,
87,OnSpellCast,Attack,AllTargetMinion,4,,,,,TRUE,,
87,OnSpellCast,Health,AllTargetMinion,4,,,,,,,
88,OnSpellCast,Damage,AllEnemyMinions,2,,,,,,,
88,OnSpellCast,Damage,EnemyHero,2,,,,,,,
89,OnSpellCast,Damage,AllTarget,3,,,,,,,
89,OnSpellCast,DrawCard,FriendlyHero,1,,,,,,,
90,OnAttacking,Heal,FriendlyHero,2,,,,,,,
91,,Taunt,Self,,,,,,,,
91,Battlecry,Heal,FriendlyHero,6,,,,,,,
92,OnSpellCast,Damage,AllTargetMinion,3,,,,,,,
93,OnSpellCast,,,,,,,,,,
94,OnSpellCast,Health,AllTargetMinion,2,,,,,TRUE,,
94,OnSpellCast,DrawCard,FriendlyHero,1,,,,,,,
95,OnSpellCast,Remove,AllTargetMinion,,,Under,3,,TRUE,,Attack
96,OnSpellCast,Remove,AllTargetMinion,,,Over,5,,,,Attack
97,OnSpellCast,Damage,AllEnemyMinions,2,,,,,,,
97,OnSpellCast,Heal,AllFriendlyMinions,2,,,,,,,
98,OnSpellCast,,,,,,,,TRUE,,
99,OnSpellCast,Damage,AllTargetMinion,2,,,,,TRUE,,
100,OnSpellCast,Attack,FriendlyWeapon,2,,,,,,,
101,OnSpellCast,Damage,EnemyHero,3,,,,,,,
102,OnSpellCast,Damage,AllTarget,1,,,,,TRUE,,
102,OnSpellCast,DrawCard,FriendlyHero,1,,,,,,,
103,OnSpellCast,,,,,,,,TRUE,,
104,OnSpellCast,Damage,AllEnemyMinions,1,,,,,,,
104,OnSpellCast,DrawCard,FriendlyHero,1,,,,,,,
106,OnSpellCast,Remove,AllTarget,,,,,,,,
107,OnSpellCast,DrawCard,FriendlyHero,4,,,,,,,
108,OnSpellCast,Heal,AllTargetMinion,,,,,,TRUE,,
108,OnSpellCast,Taunt,AllTargetMinion,,,,,,,,
109,OnSpellCast,Health,AllFriendlyMinions,2,,MinionType,,토템,,,
110,OnSpellCast,Damage,AllTarget,1,,,,,TRUE,,
110,OnSpellCast,Freeze,AllTarget,,,,,,,,
111,OnSpellCast,Attack,FriendlyHero,3,,,,,,TRUE,
112,,Attack,AdjacentMinions,2,,,,,,,
113,OnSpellCast,Windfury,AllTargetMinion,,,,,,TRUE,,
114,OnSpellCast,,,,,,,,TRUE,,
115,,Taunt,Self,,,,,,,,
116,Battlecry,Windfury,AllTargetMinion,,,,,,TRUE,,
117,OnSpellCast,Attack,AllFriendlyMinions,3,,,,,,,
118,Battlecry,Damage,AllTarget,3,,,,,TRUE,,
119,OnSpellCast,Remove,AllFriendlyMinions,,,MinionType,,악마,,,
119,OnSpellCast,Heal,FriendlyHero,8,,,,,,,
120,OnSpellCast,Damage,AllTarget,4,,,,,,,
120,OnSpellCast,,,,,,,,,,
121,OnSpellCast,Remove,AllTargetMinion,,,,,,TRUE,,
122,OnSpellCast,Damage,AllTargetMinion,1,,,,,,,
122,OnSpellCast,DrawCard,FriendlyHero,1,,,,,,,
123,,Taunt,Self,,,,,,,,
124,Battlecry,,,,,,,,,,
125,OnSpellCast,Damage,AllTarget,2,,,,,TRUE,,
125,OnSpellCast,Heal,FriendlyHero,2,,,,,,,
126,OnSpellCast,Damage,AllTargetMinion,4,,,,,TRUE,,
127,OnSpellCast,Damage,AllTarget,3,,,,,,,
128,Battlecry,Damage,AllMinionsExceptSelf,1,,,,,,,
128,Battlecry,Damage,AllHeroes,1,,,,,,,
129,OnSpellCast,Remove,AllTargetMinion,,,,,,,,
130,OnSpellCast,Damage,AllMinions,1,,,,,,,
131,OnSpellCast,Damage,RandomEnemyMinion,2,,,,,,,
133,OnSpellCast,Attack,FriendlyHero,4,,,,,,,
134,OnSpellCast,Charge,AllFriendlyMinions,,,,,,,,
135,OnSpellCast,Attack,AllFriendlyMinions,2,,,,,,,
136,OnMinionSummon,Charge,AllFriendlyMinions,,,Under,3,,,,Attack
137,,Charge,Self,,,,,,,,
140,Battlecry,Attack,AllTargetMinion,,,,,,,TRUE,
141,,Shield,Self,,,,,,,,
142,Deathrattle,Damage,EnemyHero,2,,,,,,,
143,,Taunt,Self,,,,,,,,
144,Battlecry,Charge,Self,,,HasWeapon,,,,,
145,,Stealth,Self,,,,,,,,
146,,Windfury,Self,,,,,,,,
